,REF_AREA,TIME_PERIOD,WB_WDI_AG_CON_FERT_ZS,WB_WDI_DC_DAC_TOTL_CD,WB_WDI_DT_ODA_ALLD_CD,WB_WDI_DT_ODA_ODAT_KD,WB_WDI_EN_GHG_CH4_MT_CE_AR5,WB_WDI_EN_GHG_CO2_BU_MT_CE_AR5,WB_WDI_EN_GHG_CO2_PI_MT_CE_AR5,WB_WDI_EN_GHG_N2O_BU_MT_CE_AR5,WB_WDI_EN_GHG_N2O_IP_MT_CE_AR5,WB_WDI_EN_GHG_N2O_WA_MT_CE_AR5,WB_WDI_NE_EXP_GNFS_ZS,WB_WDI_NY_GNP_PCAP_CD,WB_WDI_SE_PRM_AGES,WB_WDI_SE_PRM_DURS,WB_WDI_SH_DTH_MORT,WB_WDI_SH_DYN_MORT,WB_WDI_SM_POP_NETM,WB_WDI_SP_POP_3034_FE_5Y,WB_WDI_SP_POP_65UP_TO,WB_WDI_SP_POP_DPND_YG,WB_WDI_TM_VAL_MRCH_WL_CD,WB_WDI_TX_VAL_MRCH_HI_ZS,WB_WDI_TX_VAL_MRCH_OR_ZS,WB_WDI_TX_VAL_MRCH_WL_CD,WB_WDI_TX_VAL_MRCH_WR_ZS,WB_WDI_AG_PRD_CROP_XD,WB_WDI_AG_PRD_FOOD_XD,WB_WDI_AG_PRD_LVSK_XD,WB_WDI_BX_KLT_DINV_CD_WD,WB_WDI_DT_ODA_ODAT_CD,WB_WDI_EN_GHG_CO2_FE_MT_CE_AR5,WB_WDI_EN_GHG_CO2_PC_CE_AR5,WB_WDI_ER_H2O_INTR_K3,WB_WDI_ER_H2O_INTR_PC,WB_WDI_FI_RES_TOTL_CD,WB_WDI_FM_LBL_BMNY_CN,WB_WDI_NE_IMP_GNFS_ZS,WB_WDI_NV_AGR_TOTL_ZS,WB_WDI_NY_ADJ_DNGY_CD,WB_WDI_NY_GDP_PCAP_CD,WB_WDI_NY_GSR_NFCY_CD,WB_WDI_SH_DTH_IMRT,WB_WDI_SH_DYN_MORT_MA,WB_WDI_SP_POP_0004_FE_5Y,WB_WDI_SP_POP_0014_FE_IN,WB_WDI_SP_POP_1014_FE_5Y,WB_WDI_SP_POP_1564_FE_IN,WB_WDI_SP_POP_4044_FE_5Y,WB_WDI_SP_POP_5559_FE_5Y,WB_WDI_SP_POP_65UP_FE_ZS,WB_WDI_SP_POP_65UP_MA_ZS,WB_WDI_SP_POP_7074_MA_5Y,WB_WDI_SP_POP_80UP_FE_5Y,WB_WDI_SP_POP_TOTL_MA_IN,WB_WDI_SP_POP_TOTL_MA_ZS,WB_WDI_TM_VAL_MRCH_CD_WT,WB_WDI_TM_VAL_MRCH_R5_ZS,WB_WDI_TM_VAL_MRCH_RS_ZS,WB_WDI_TX_VAL_MRCH_RS_ZS,WB_WDI_AG_LND_CREL_HA,WB_WDI_AG_LND_PRCP_MM,WB_WDI_AG_LND_TOTL_K2,WB_WDI_AG_YLD_CREL_KG,WB_WDI_EN_GHG_CO2_MT_CE_AR5,WB_WDI_EN_GHG_N2O_PI_MT_CE_AR5,WB_WDI_EN_GHG_N2O_TR_MT_CE_AR5,WB_WDI_ER_FSH_AQUA_MT,WB_WDI_ER_FSH_PROD_MT,WB_WDI_FM_AST_DOMS_CN,WB_WDI_FM_AST_NFRG_CN,WB_WDI_IT_MLT_MAIN,WB_WDI_NE_IMP_GNFS_CD,WB_WDI_NE_TRD_GNFS_ZS,WB_WDI_NY_GDP_DEFL_KD_ZG,WB_WDI_NY_GDP_PCAP_KD,WB_WDI_SE_SEC_AGES,WB_WDI_SP_DYN_CBRT_IN,WB_WDI_SP_POP_2024_FE_5Y,WB_WDI_SP_POP_5054_MA_5Y,WB_WDI_SP_POP_6569_FE_5Y,WB_WDI_SP_URB_TOTL,WB_WDI_TM_VAL_MRCH_HI_ZS,WB_WDI_TM_VAL_MRCH_R1_ZS,WB_WDI_AG_LND_AGRI_ZS,WB_WDI_AG_LND_ARBL_ZS,WB_WDI_AG_LND_CROP_ZS,WB_WDI_EN_GHG_ALL_MT_CE_AR5,WB_WDI_EN_GHG_CH4_PI_MT_CE_AR5,WB_WDI_EN_GHG_N2O_AG_MT_CE_AR5,WB_WDI_EN_URB_MCTY,WB_WDI_FM_AST_PRVT_GD_ZS,WB_WDI_NE_GDI_TOTL_CN,WB_WDI_NY_ADJ_AEDU_GN_ZS,WB_WDI_SH_DYN_MORT_FE,WB_WDI_SP_DYN_CDRT_IN,WB_WDI_SP_DYN_IMRT_FE_IN,WB_WDI_SP_DYN_IMRT_MA_IN,WB_WDI_SP_DYN_LE00_FE_IN,WB_WDI_SP_POP_0014_TO,WB_WDI_SP_POP_1564_MA_IN,WB_WDI_SP_POP_1564_MA_ZS,WB_WDI_SP_POP_1564_TO_ZS,WB_WDI_SP_POP_2529_FE_5Y,WB_WDI_SP_POP_3034_MA_5Y,WB_WDI_SP_POP_3539_FE_5Y,WB_WDI_SP_POP_4044_MA_5Y,WB_WDI_SP_POP_5054_FE_5Y,WB_WDI_SP_POP_5559_MA_5Y,WB_WDI_SP_POP_80UP_MA_5Y,WB_WDI_SP_POP_DPND,WB_WDI_SP_POP_GROW,WB_WDI_SP_POP_TOTL,WB_WDI_SP_POP_TOTL_FE_IN,WB_WDI_TM_VAL_MRCH_R3_ZS,WB_WDI_TM_VAL_MRCH_WR_ZS,WB_WDI_TX_VAL_MRCH_R6_ZS,WB_WDI_AG_LND_ARBL_HA,WB_WDI_AG_LND_ARBL_HA_PC,WB_WDI_AG_PRD_CREL_MT,WB_WDI_AG_SRF_TOTL_K2,WB_WDI_DT_ODA_ODAT_PC_ZS,WB_WDI_EN_GHG_CO2_IC_MT_CE_AR5,WB_WDI_EN_URB_LCTY,WB_WDI_EN_URB_LCTY_UR_ZS,WB_WDI_NE_RSB_GNFS_CD,WB_WDI_NY_GDP_PCAP_KD_ZG,WB_WDI_SH_DTH_NMRT,WB_WDI_SH_DYN_NMRT,WB_WDI_SP_DYN_AMRT_MA,WB_WDI_SP_DYN_LE00_MA_IN,WB_WDI_SP_DYN_TO65_MA_ZS,WB_WDI_SP_POP_0004_MA_5Y,WB_WDI_SP_POP_0014_MA_ZS,WB_WDI_SP_POP_0509_FE_5Y,WB_WDI_SP_POP_0509_MA_5Y,WB_WDI_SP_POP_1014_MA_5Y,WB_WDI_SP_POP_1564_FE_ZS,WB_WDI_SP_POP_6064_MA_5Y,WB_WDI_SP_POP_65UP_MA_IN,WB_WDI_SP_POP_DPND_OL,WB_WDI_SP_RUR_TOTL,WB_WDI_TM_VAL_MRCH_R6_ZS,WB_WDI_TX_VAL_MRCH_R4_ZS,WB_WDI_EN_GHG_CH4_BU_MT_CE_AR5,WB_WDI_EN_GHG_CH4_FE_MT_CE_AR5,WB_WDI_EN_GHG_CO2_IP_MT_CE_AR5,WB_WDI_EN_GHG_N2O_FE_MT_CE_AR5,WB_WDI_EN_POP_DNST,WB_WDI_FD_AST_PRVT_GD_ZS,WB_WDI_FS_AST_CGOV_GD_ZS,WB_WDI_IT_CEL_SETS_P2,WB_WDI_NY_ADJ_DMIN_CD,WB_WDI_NY_GDP_MKTP_CD,WB_WDI_NY_GNP_ATLS_CD,WB_WDI_SP_DYN_IMRT_IN,WB_WDI_SP_POP_0014_MA_IN,WB_WDI_SP_POP_1564_TO,WB_WDI_SP_POP_2024_MA_5Y,WB_WDI_SP_POP_7579_FE_5Y,WB_WDI_SP_POP_7579_MA_5Y,WB_WDI_SP_POP_BRTH_MF,WB_WDI_SP_URB_TOTL_IN_ZS,WB_WDI_TM_VAL_MRCH_OR_ZS,WB_WDI_TM_VAL_MRCH_R4_ZS,WB_WDI_TX_VAL_MRCH_AL_ZS,WB_WDI_TX_VAL_MRCH_CD_WT,WB_WDI_AG_LND_AGRI_K2,WB_WDI_BX_GRT_EXTA_CD_WD,WB_WDI_BX_GRT_TECH_CD_WD,WB_WDI_DT_ODA_ALLD_KD,WB_WDI_EN_GHG_ALL_PC_CE_AR5,WB_WDI_EN_GHG_N2O_IC_MT_CE_AR5,WB_WDI_EN_GHG_N2O_MT_CE_AR5,WB_WDI_ER_FSH_CAPT_MT,WB_WDI_IT_CEL_SETS,WB_WDI_NE_CON_TOTL_CD,WB_WDI_NE_EXP_GNFS_CD,WB_WDI_NY_GDP_DEFL_ZS,WB_WDI_NY_GDP_MKTP_KD,WB_WDI_PA_NUS_ATLS,WB_WDI_PA_NUS_FCRF,WB_WDI_SE_SEC_DURS,WB_WDI_SP_ADO_TFRT,WB_WDI_SP_DYN_LE00_IN,WB_WDI_SP_POP_0014_TO_ZS,WB_WDI_SP_POP_3539_MA_5Y,WB_WDI_SP_POP_4549_FE_5Y,WB_WDI_SP_POP_4549_MA_5Y,WB_WDI_SP_POP_6064_FE_5Y,WB_WDI_SP_POP_65UP_TO_ZS,WB_WDI_SP_POP_TOTL_FE_ZS,WB_WDI_SP_RUR_TOTL_ZS,WB_WDI_SP_URB_GROW,WB_WDI_TM_VAL_MRCH_AL_ZS,WB_WDI_TX_VAL_MRCH_R1_ZS,WB_WDI_DC_DAC_DEUL_CD,WB_WDI_EN_GHG_CH4_AG_MT_CE_AR5,WB_WDI_EN_GHG_CH4_IC_MT_CE_AR5,WB_WDI_EN_GHG_CH4_TR_MT_CE_AR5,WB_WDI_EN_GHG_CH4_WA_MT_CE_AR5,WB_WDI_EN_GHG_CO2_TR_MT_CE_AR5,WB_WDI_EN_URB_MCTY_TL_ZS,WB_WDI_FI_RES_XGLD_CD,WB_WDI_IT_MLT_MAIN_P2,WB_WDI_NE_RSB_GNFS_ZS,WB_WDI_NY_GDP_MKTP_KD_ZG,WB_WDI_NY_GNP_MKTP_CD,WB_WDI_SG_LAW_INDX,WB_WDI_SP_DYN_AMRT_FE,WB_WDI_SP_DYN_TFRT_IN,WB_WDI_SP_DYN_TO65_FE_ZS,WB_WDI_SP_POP_0014_FE_ZS,WB_WDI_SP_POP_1519_FE_5Y,WB_WDI_SP_POP_1519_MA_5Y,WB_WDI_SP_POP_2529_MA_5Y,WB_WDI_SP_POP_6569_MA_5Y,WB_WDI_SP_POP_65UP_FE_IN,WB_WDI_SP_POP_7074_FE_5Y,WB_WDI_SP_RUR_TOTL_ZG,WB_WDI_TG_VAL_TOTL_GD_ZS,war
0,AFG,1960,,15670000.0,17180000.0,136675000.0,,,,,,,,,,,,353.2,2606.0,6.34337,255092.0,75.9494,,66.6667,,34800000.0,33.3333,,,,,17180000.0,,,,,50690800.0,-0.8557482599588423,,,,,11111000.0,108799.0,360.5,17.5969,1884410.0,12.3248,2343120.0,4.4694,2.48163,2.69896,2.9386,0.880967,0.176717,4690250.0,51.9117,87000000.0,,,0.0,,,,,,,,0.0,200.0,-0.30333164183346645,,7700.0,37777800.0,,,,,50.516,8.79761,3.23145,1.31511,759034.0,,,,,,,,,285352.0,,-0.5006149667500523,,345.7,31.672,239.2,262.5,33.549,3789910.0,2646920.0,56.4346,55.2299,7.49932,6.90349,5.3322,4.84689,3.0946,2.65838,0.181686,81.0614,,9035040.0,4344800.0,,,,,,,,1.90149,,285352.0,37.5941,-15555500.0,,,,598.481,32.136,18.0378,16.6035,40.6268,13.4499,12.6949,11.3284,53.9294,2.00582,137827.0,5.11202,8276010.0,,,,,,,,,,0.0,,,,251.2,1905500.0,4990040.0,8.96969,0.39896,0.428261,1.049,8.401,,,,50000000.0,,14350000.0,1510000.0,136675000.0,,,,200.0,0.0,466667000.0,22222200.0,,,45.0,17.1966,,140.598,32.799,41.9468,5.81024,3.74517,4.00193,1.88548,2.82336,48.0883,91.599,,,,650000.0,,,,,,3.15828,10000000.0,0.0893016,,,548889000.0,,546.966,7.282,21.5017,43.3717,10.2806,10.1839,7.82277,1.44769,117264.0,0.808173,,,0
1,AFG,1961,0.143791,33550000.0,34670000.0,268410000.0,,,,,,,,,,,,347.6,6109.0,6.33618,258856.0,76.1911,,78.6408,,30900000.0,21.3592,43.24,41.0,41.54,,34670000.0,,,,,42444500.0,-0.8538376485550069,,,,,11111100.0,109828.0,354.8,17.6805,1924660.0,12.1503,2393990.0,4.45723,2.47071,2.69808,2.91278,0.875571,0.18073,4775680.0,51.8303,99000000.0,,,0.0,3313500.0,327.0,652230.0,1115.1,,,,0.0,300.0,-0.29050958631978596,-0.645750964268576,7700.0,44444400.0,,,,,50.566,8.764,3.209,1.31033,800151.0,,,57.8784,11.729,0.15332,,,,300359.0,,-0.49775855361100146,,339.9,31.129,236.5,259.4,34.043,3872550.0,2688690.0,56.2996,55.1621,7.49149,6.87441,5.32401,4.8418,3.08034,2.6244,0.184476,81.284,1.96224,9214080.0,4438400.0,,,,7650000.0,0.830251,3695000.0,652860.0,3.76272,,300359.0,37.5378,-20000000.0,,,,592.058,32.626,18.5931,16.7484,40.7877,13.533,12.8261,11.2132,53.9381,1.98475,139105.0,5.09291,8413930.0,,,,,,,14.127,,,,,,,248.4,1947890.0,5082680.0,8.93699,0.401136,0.427593,1.049,8.684,,,,53000000.0,377500.0,32730000.0,1620000.0,268410000.0,,,,300.0,,477778000.0,24444500.0,,,45.0,17.1966,,139.838,33.291,42.0286,5.82081,3.73118,3.99487,1.87516,2.80936,48.1697,91.316,5.27539,,,3380000.0,,,,,,3.25978,6240000.0,0.0855843,,,560000000.0,,540.793,7.284,22.0933,43.3638,10.4078,10.2202,7.79233,1.42514,119751.0,0.805887,1.65281,,0
2,AFG,1962,0.142857,15260000.0,16930000.0,129124000.0,,,,,,,,,,,154218.0,342.3,7016.0,6.32939,262649.0,76.4376,,72.2222,,28800000.0,27.7778,44.13,41.34,42.1,,16930000.0,,,47.15,5013.61,40592100.0,-0.8501875252760375,,,,,11111100.0,110923.0,349.2,17.7637,1966250.0,11.9597,2448710.0,4.44509,2.45926,2.69632,2.88281,0.871112,0.184614,4867110.0,51.7535,116000000.0,,,0.0,3425500.0,327.0,652230.0,1079.0,,,,0.0,300.0,-0.28743763551963336,-0.6462887114439546,7700.0,51111100.0,,,,,50.666,8.72479,3.19737,1.30505,844139.0,,,57.955,11.8057,0.15332,,,,316177.0,,-0.4891893141938489,,334.8,30.63,233.8,256.3,34.502,3960460.0,2732590.0,56.144,55.0944,7.49203,6.82821,5.31536,4.8348,3.06639,2.58286,0.187031,81.5068,2.04452,9404410.0,4537300.0,,,,7700000.0,0.818765,3696000.0,652860.0,1.80022,,316177.0,37.4556,-24444400.0,,,,586.214,33.098,19.1177,16.8908,40.9732,13.6118,12.9522,11.1302,53.9684,1.97173,140309.0,5.06918,8560270.0,,,,,,,14.4188,,,,,,,245.4,1994210.0,5181300.0,8.89679,0.402762,0.426341,1.049,8.976,,,,58000000.0,378000.0,16080000.0,1870000.0,129124000.0,,,,300.0,,466667000.0,26666700.0,,,45.0,17.1966,,139.385,33.757,42.1128,5.83575,3.71712,3.98518,1.86576,2.79283,48.2465,91.024,5.35167,,,2150000.0,,,,,,3.36201,4470000.0,0.0855843,,,557778000.0,,535.214,7.292,22.643,43.3353,10.5532,10.2384,7.77287,1.39832,122340.0,0.803893,1.72425,,0
3,AFG,1963,0.141935,34880000.0,36670000.0,276783000.0,,,,,,,,,,,155189.0,336.8,6681.0,6.32212,266530.0,76.808,,64.4156,1.81818,38500000.0,33.7662,43.02,41.16,44.76,,36670000.0,,,47.15,4909.16,45547800.0,-0.8464290389622238,,,,,15555500.0,112201.0,344.0,17.8492,2010390.0,11.7843,2505380.0,4.43307,2.4472,2.69378,2.85105,0.866249,0.188341,4963700.0,51.6811,125000000.0,,,0.0,3426500.0,327.0,652230.0,985.8,,,,0.0,300.0,-0.2817166836671752,-0.6414330536159059,7700.0,126667000.0,,,,,50.787,8.69955,3.19259,1.29932,890912.0,,,58.0317,11.8823,0.15332,,,,332829.0,,-0.48776110762432345,,329.8,30.168,231.3,253.3,34.945,4056550.0,2776030.0,55.9266,54.989,7.4897,6.77253,5.30587,4.82787,3.05254,2.53906,0.189304,81.8546,2.10521,9604490.0,4640780.0,,,,7750000.0,0.806915,3378000.0,652860.0,3.81801,,332829.0,37.3582,-57777800.0,,,,580.702,33.543,19.6181,17.0335,41.2224,13.6866,13.0729,11.116,53.9862,1.96158,141518.0,5.04657,8713580.0,,1.03896,,,,,14.7256,,,,,,,242.5,2046160.0,5281410.0,8.86171,0.403779,0.424753,1.049,9.276,,,1.03896,70000000.0,378500.0,34470000.0,1990000.0,276783000.0,,,,300.0,,702222000.0,68888900.0,,,45.0,35.1096,,139.392,34.201,42.236,5.84659,3.70294,3.97348,1.85719,2.77506,48.3189,90.724,5.39285,,0.779221,2810000.0,,,,,,3.46535,9240000.0,0.0855843,,,766667000.0,,529.777,7.302,23.1815,43.32,10.676,10.1932,7.75797,1.37074,125012.0,0.802343,1.77508,,0
4,AFG,1964,0.141026,44220000.0,46170000.0,339514000.0,,,,,,,,,,,156392.0,331.7,7079.0,6.31207,270658.0,77.3436,60200000.0,54.3814,,38800000.0,45.6186,46.91,44.6,46.17,,46170000.0,,,47.15,4804.21,44619700.0,-0.8400470265416509,,,,,15555500.0,113592.0,338.8,17.9341,2059280.0,11.6678,2561850.0,4.42143,2.43481,2.69063,2.82076,0.858952,0.191792,5065410.0,51.6125,124000000.0,21.4286,0.0,0.0,3446500.0,327.0,652230.0,1082.8,,,,0.0,300.0,-0.26385262194889647,-0.6424408316556895,7700.0,144444000.0,,,,,50.852,8.71316,3.18773,1.29337,940801.0,78.5714,,58.116,11.959,0.160986,,,,350382.0,,-0.4849046944852726,,324.8,29.672,228.7,250.2,35.428,4162210.0,2819610.0,55.6639,54.8327,7.47104,6.71917,5.29536,4.82436,3.03868,2.50207,0.191248,82.373,2.1612,9814320.0,4748900.0,,21.4286,,7800000.0,0.794757,3732000.0,652860.0,4.70435,,350382.0,37.2429,-73333300.0,,,,575.003,34.004,20.1426,17.1738,41.5154,13.7614,13.1911,11.1505,53.9461,1.94708,142883.0,5.02946,8873520.0,,,,,,,15.0473,,,,,,,239.7,2102930.0,5381450.0,8.84455,0.404304,0.423203,1.049,9.586,,,,64000000.0,379050.0,39890000.0,2150000.0,339514000.0,,,,300.0,,762222000.0,71111100.0,,,45.0,38.6923,,139.821,34.673,42.4095,5.84222,3.68872,3.9619,1.84914,2.75779,48.3875,90.414,5.4486,,,6630000.0,,,,,,3.57011,8130000.0,0.0855843,,,815556000.0,,523.973,7.304,23.7688,43.3633,10.7217,10.0999,7.73494,1.34735,127775.0,0.801164,1.81891,,0
5,AFG,1965,0.141026,51170000.0,53930000.0,378862000.0,,,,,,,,,,,157570.0,326.5,10695.0,6.29665,275154.0,78.0763,59000000.0,66.3594,0.230415,43400000.0,33.4101,48.58,46.7,48.79,,53930000.0,,,47.15,4698.08,45434600.0,-0.8340756529899621,,,,,20000000.0,114915.0,333.2,18.017,2115680.0,11.6559,2616370.0,4.41011,2.42237,2.68722,2.79286,0.849102,0.194953,5173290.0,51.5473,121000000.0,15.2542,0.0,0.0,3444500.0,327.0,652230.0,1098.9,,,,0.0,300.0,-0.2682602035317241,-0.6415127198641101,9300.0,215556000.0,,,,,50.889,8.77281,3.1802,1.28747,993966.0,84.7458,,58.1237,11.959,0.168652,,,,368809.0,,-0.4834764879157472,,320.0,29.193,226.4,247.2,35.9,4279580.0,2864910.0,55.3789,54.6161,7.43966,6.67202,5.28373,4.82297,3.02481,2.47466,0.192866,83.0962,2.23371,10036000.0,4862720.0,,15.2542,,7800000.0,0.777201,3785000.0,652860.0,5.37365,,368809.0,37.1048,-102222000.0,,,,569.683,34.438,20.6395,17.3098,41.8283,13.8353,13.306,11.2125,53.8046,1.92656,144483.0,5.01989,9042040.0,,,,,,,15.3872,,,0.0,,,,236.9,2163900.0,5481280.0,8.84683,0.404671,0.421695,1.049,9.904,,,,74000000.0,379100.0,36900000.0,2760000.0,378862000.0,,,,300.0,0.0,995556000.0,113333000.0,,,45.0,38.6923,,140.822,35.124,42.6422,5.82117,3.67467,3.952,1.84144,2.74167,48.4527,90.096,5.49714,,0.230415,15810000.0,,,,,,3.67486,8980000.0,0.097228,,,1026670000.0,,518.31,7.305,24.3472,43.5082,10.6383,9.98273,7.69973,1.32919,130672.0,0.800129,1.88138,,0
6,AFG,1966,0.191449,46960000.0,50840000.0,342813000.0,,,,,,,,,,,158960.0,321.5,3563.0,6.28197,279939.0,78.933,,58.7927,2.88714,38100000.0,38.3202,47.74,48.42,54.06,,50840000.0,,,47.15,4592.65,47114100.0,-0.8340414330842217,,,,,28888900.0,116433.0,327.8,18.101,2177150.0,11.7063,2669920.0,4.3986,2.40995,2.6838,2.76723,0.836708,0.197892,5285660.0,51.485,128000000.0,,,0.0,3446500.0,327.0,652230.0,1012.3,,,,0.0,300.0,-0.26972939739266666,-0.642468714842561,9300.0,260000000.0,,,,,51.018,8.86744,3.17081,1.28188,1050560.0,,,58.1927,12.0126,0.183984,,,,388232.0,,-0.4806200747766963,,315.2,28.733,223.9,244.2,36.38,4405340.0,2911200.0,55.0773,54.363,7.40077,6.63224,5.27166,4.82379,3.01086,2.45548,0.194167,83.9488,2.26965,10266400.0,4980740.0,,,,7835000.0,0.76317,3489000.0,652860.0,4.95208,,388232.0,36.9548,-140000000.0,,,,564.221,34.877,21.151,17.4434,42.1554,13.904,13.4143,11.2978,53.6049,1.90088,146266.0,5.01582,9215840.0,,1.83727,,,,,15.7405,,,,,,,234.2,2228190.0,5581120.0,8.85666,0.405121,0.420355,1.049,10.233,,,0.524934,67000000.0,379550.0,16030000.0,20270000.0,342813000.0,,,,300.0,,1422220000.0,120000000.0,,,45.0,38.6923,,141.668,35.583,42.9103,5.78567,3.66073,3.94216,1.83363,2.72676,48.515,89.767,5.53756,,1.04987,16410000.0,,,,,,3.78158,12100000.0,0.093408,,,1428890000.0,,512.486,7.32,24.9435,43.7113,10.4692,9.85503,7.65461,1.316,133673.0,0.798908,1.90382,,0
7,AFG,1967,1.27486,37080000.0,41080000.0,276873000.0,,,,,,,,,,,160469.0,316.6,6824.0,6.2742,285052.0,79.78,68205000.0,53.7021,7.12811,41652000.0,39.1698,53.23,53.06,57.44,,41080000.0,,,47.15,4487.93,38528800.0,-0.8341897193424298,,,,,35555600.0,118043.0,322.8,18.1873,2240890.0,11.753,2725510.0,4.38657,2.3977,2.6804,2.74426,0.821763,0.2006,5402770.0,51.4258,126000000.0,14.0635,0.0,-4.47192e-15,3124500.0,327.0,652230.0,1224.5,,,,0.0,400.0,-0.2625726424488329,-0.6430383285172214,9300.0,237778000.0,,,,,51.106,8.97709,3.15932,1.27679,1110480.0,72.7058,8.23693,58.2295,12.0264,0.206982,,,,408087.0,,-0.5006149667500523,,310.3,28.265,221.2,241.0,36.851,4535680.0,2959720.0,54.7815,54.1143,7.35711,6.60199,5.25974,4.8282,2.99677,2.44446,0.195215,84.7939,2.30667,10506000.0,5103190.0,,14.0635,,7844000.0,0.746624,3826000.0,652860.0,3.91016,,408087.0,36.7487,-124444000.0,,,,558.762,35.324,21.6715,17.576,42.4743,13.9713,13.5197,11.3786,53.4081,1.86978,148266.0,5.0139,9395480.0,,6.21339,,,,,16.1078,,,,,,,231.4,2294790.0,5685230.0,8.85097,0.405717,0.419368,1.049,10.57,13.2307,4.99377,4.58801,66000000.0,379790.0,6710000.0,18150000.0,276873000.0,,,,400.0,,1711110000.0,113333000.0,,,45.0,38.6923,,141.451,36.042,43.1724,5.73599,3.64673,3.93077,1.82534,2.71324,48.5742,89.43,5.5469,0.807859,0.914722,9610000.0,,,,,,3.88434,5300000.0,0.093408,,,1708890000.0,,506.817,7.339,25.5331,43.9115,10.2868,9.75656,7.60343,1.30791,136786.0,0.797296,1.93054,,0
8,AFG,1968,1.91229,24500000.0,29240000.0,190178000.0,,,,,,,,,,,161983.0,311.6,3333.0,6.2641,290464.0,80.6178,51435000.0,38.5033,,34958000.0,61.4967,54.52,55.39,61.76,,29240000.0,,,47.15,4383.22,45589800.0,-0.8274683595232653,,,,,28888900.0,119634.0,317.9,18.2721,2307320.0,11.7961,2783640.0,4.37394,2.38556,2.67709,2.72218,0.806454,0.20302,5525920.0,51.3709,114000000.0,28.1423,0.0,0.0,3041500.0,327.0,652230.0,1287.5,,,,0.0,400.0,-0.2460887325393183,-0.6447153030419208,9300.0,208889000.0,,,,,51.209,9.06718,3.14632,1.2722,1174440.0,71.8577,,58.231,12.0264,0.208515,,,,428363.0,,-0.4991867601805269,,305.3,27.801,218.5,238.0,37.281,4671650.0,3011170.0,54.4918,53.8705,7.32543,6.57584,5.2475,4.82925,2.98259,2.43861,0.196067,85.6303,2.36068,10756900.0,5231000.0,,28.1423,,7844000.0,0.729205,3916000.0,652860.0,2.71825,,428363.0,36.4738,-86666700.0,,,,552.68,35.825,22.2587,17.707,42.786,14.0404,13.6245,11.4545,53.2142,1.83724,150426.0,5.01249,9582480.0,,,,,,,16.4925,,,,,,,228.6,2364320.0,5794810.0,8.79056,0.406471,0.418111,1.049,10.918,,,,72000000.0,379800.0,9980000.0,13750000.0,190178000.0,,,,400.0,,1371110000.0,122222000.0,,,45.0,38.6923,,140.485,36.51,43.4292,5.67864,3.63287,3.9195,1.81656,2.70025,48.6291,89.082,5.59999,,,6840000.0,,,,,,3.98221,6120000.0,0.093408,,,1402220000.0,,501.655,7.363,26.0756,44.1087,10.1185,9.71885,7.55698,1.30155,140038.0,0.795393,1.97079,,0
9,AFG,1969,2.16285,22520000.0,27250000.0,172308000.0,,,,,,,,,,,163423.0,306.4,2029.0,6.24037,295965.0,81.4481,70977000.0,49.1678,6.74252,48424000.0,44.0897,56.01,56.07,62.01,,27250000.0,,,47.15,4279.59,41373600.0,-0.8190360044170838,,,,,28888900.0,121275.0,312.7,18.3555,2376150.0,11.8393,2843710.0,4.36051,2.37339,2.67387,2.69817,0.793701,0.205211,5654140.0,51.3201,126000000.0,21.1576,0.0,0.0,3081500.0,327.0,652230.0,1310.4,,,,60.0,460.0,-0.23774393401429503,-0.6444520459247298,9300.0,211111000.0,,,,,51.28,9.09159,3.13345,1.26797,1242210.0,58.6613,14.8471,58.2555,12.051,0.208515,,,,449585.0,,-0.49775855361100146,,300.2,27.334,216.0,235.2,37.758,4812620.0,3065110.0,54.21,53.6317,7.3265,6.54297,5.233,4.81773,2.96842,2.43267,0.196811,86.457,2.39272,11017400.0,5363270.0,,21.1576,,7860000.0,0.713416,4038000.0,652860.0,2.47336,,449585.0,36.1923,-68888900.0,,,,547.083,36.287,22.8053,17.837,43.0919,14.1093,13.7269,11.528,53.022,1.80977,152558.0,5.00887,9775200.0,,5.70791,,,,,16.8919,,,,,,,225.8,2436480.0,5908820.0,8.68911,0.407364,0.415536,1.049,11.275,20.1812,5.33412,3.65315,82000000.0,379960.0,4940000.0,19220000.0,172308000.0,,,,400.0,,1386670000.0,142222000.0,,,45.0,38.6923,,139.348,36.979,43.682,5.62345,3.61939,3.91103,1.80749,2.68634,48.6799,88.725,5.61022,0.298688,1.03461,5570000.0,,,,,,4.08068,8180000.0,0.093408,,,1437780000.0,,495.93,7.389,26.6817,44.3041,10.0014,9.72377,7.526,1.29212,143407.0,0.793323,1.99116,,0
